"Text","Type"
"interracial","PROFANITY"
"intheass","PROFANITY"
"inthebuff","PROFANITY"
"israel","PROFANITY"
"israeli","PROFANITY"
"israel's","PROFANITY"
"italiano","PROFANITY"
"itch","PROFANITY"
"jackass","PROFANITY"
"jackoff","PROFANITY"
"jackshit","PROFANITY"
"jacktheripper","PROFANITY"
"jade","PROFANITY"
"jap","PROFANITY"
"japanese","PROFANITY"
"japcrap","PROFANITY"
"jebus","PROFANITY"
"jeez","PROFANITY"
"jerkoff","PROFANITY"
"jesus","PROFANITY"
"jesuschrist","PROFANITY"
"jew","PROFANITY"
"jewish","PROFANITY"
"jiga","PROFANITY"
"jigaboo","PROFANITY"
"jigg","PROFANITY"
"jigga","PROFANITY"
"jiggabo","PROFANITY"
"jigger ","PROFANITY"
"jiggy","PROFANITY"
"jihad","PROFANITY"
"jijjiboo","PROFANITY"
"jimfish","PROFANITY"
"jism","PROFANITY"
"jiz ","PROFANITY"
"jizim","PROFANITY"
"jizjuice","PROFANITY"
"jizm ","PROFANITY"
"jizz","PROFANITY"
"jizzim","PROFANITY"
"jizzum","PROFANITY"
"joint","PROFANITY"
"juggalo","PROFANITY"
"jugs","PROFANITY"
"junglebunny","PROFANITY"
"kaffer","PROFANITY"
"kaffir","PROFANITY"
"kaffre","PROFANITY"
"kafir","PROFANITY"
"kanake","PROFANITY"
"kid","PROFANITY"
"kigger","PROFANITY"
"kike","PROFANITY"
"kill","PROFANITY"
"killed","PROFANITY"
"killer","PROFANITY"
"killing","PROFANITY"
"kills","PROFANITY"
"kink","PROFANITY"
"kinky","PROFANITY"
"kissass","PROFANITY"
"kkk","PROFANITY"
"knife","PROFANITY"
"knockers","PROFANITY"
"kock","PROFANITY"
"kondum","PROFANITY"
"koon","PROFANITY"
"kotex","PROFANITY"
"krap","PROFANITY"
"krappy","PROFANITY"
"kraut","PROFANITY"
"kum","PROFANITY"
"kumbubble","PROFANITY"
"kumbullbe","PROFANITY"
"kummer","PROFANITY"
"kumming","PROFANITY"
"kumquat","PROFANITY"
"kums","PROFANITY"
"kunilingus","PROFANITY"
"kunnilingus","PROFANITY"
"kunt","PROFANITY"
"ky","PROFANITY"
"kyke","PROFANITY"
"lactate","PROFANITY"
"laid","PROFANITY"
"lapdance","PROFANITY"
"latin","PROFANITY"
"lesbain","PROFANITY"
"lesbayn","PROFANITY"
"lesbian","PROFANITY"
"lesbin","PROFANITY"
"lesbo","PROFANITY"
"lez","PROFANITY"
"lezbe","PROFANITY"
"lezbefriends","PROFANITY"
"lezbo","PROFANITY"
"lezz","PROFANITY"
"lezzo","PROFANITY"
"liberal","PROFANITY"
"libido","PROFANITY"
"licker","PROFANITY"
"lickme","PROFANITY"
"lies","PROFANITY"
"limey","PROFANITY"
"limpdick","PROFANITY"
"limy","PROFANITY"
"lingerie","PROFANITY"
"liquor","PROFANITY"
"livesex","PROFANITY"
"loadedgun","PROFANITY"
"lolita","PROFANITY"
"looser","PROFANITY"
"loser","PROFANITY"
"lotion","PROFANITY"
"lovebone","PROFANITY"
"lovegoo","PROFANITY"
"lovegun","PROFANITY"
"lovejuice","PROFANITY"
"lovemuscle","PROFANITY"
"lovepistol","PROFANITY"
"loverocket","PROFANITY"
"lowlife","PROFANITY"
"lsd","PROFANITY"
"lubejob","PROFANITY"
"lucifer","PROFANITY"
"luckycammeltoe","PROFANITY"
"lugan","PROFANITY"
"lynch","PROFANITY"
"macaca","PROFANITY"
"mad","PROFANITY"
"mafia","PROFANITY"
"magicwand","PROFANITY"
"mams","PROFANITY"
"manhater","PROFANITY"
"manpaste","PROFANITY"
"marijuana","PROFANITY"
"mastabate","PROFANITY"
"mastabater","PROFANITY"
"masterbate","PROFANITY"
"masterblaster","PROFANITY"
"mastrabator","PROFANITY"
"masturbate","PROFANITY"
"masturbating","PROFANITY"
"mattressprincess","PROFANITY"
"meatbeatter","PROFANITY"
"meatrack","PROFANITY"
"meth","PROFANITY"
"mexican","PROFANITY"
"mgger","PROFANITY"
"mggor","PROFANITY"
"mickeyfinn","PROFANITY"
"mideast","PROFANITY"
"milf","PROFANITY"
"minority","PROFANITY"
"mockey","PROFANITY"
"mockie","PROFANITY"
"mocky","PROFANITY"
"mofo","PROFANITY"
"moky","PROFANITY"
"moles","PROFANITY"
"molest","PROFANITY"
"molestation","PROFANITY"
"molester","PROFANITY"
"molestor","PROFANITY"
"moneyshot","PROFANITY"
"mooncricket","PROFANITY"
"mormon","PROFANITY"
"moron","PROFANITY"
"moslem","PROFANITY"
"mosshead","PROFANITY"
"mothafuck","PROFANITY"
"mothafucka","PROFANITY"
"mothafuckaz","PROFANITY"
"mothafucked ","PROFANITY"
"mothafucker","PROFANITY"
"mothafuckin","PROFANITY"
"mothafucking ","PROFANITY"
"mothafuckings","PROFANITY"
"motherfuck","PROFANITY"
"motherfucked","PROFANITY"
"motherfucker","PROFANITY"
"motherfuckin","PROFANITY"
"motherfucking","PROFANITY"
"motherfuckings","PROFANITY"
"motherlovebone","PROFANITY"
"muff","PROFANITY"
"muffdive","PROFANITY"
"muffdiver","PROFANITY"
"muffindiver","PROFANITY"
"mufflikcer","PROFANITY"
"mulatto","PROFANITY"
"muncher","PROFANITY"
"munt","PROFANITY"
"murder","PROFANITY"
"murderer","PROFANITY"
"muslim","PROFANITY"
"naked","PROFANITY"
"narcotic","PROFANITY"
"nasty","PROFANITY"
"nastybitch","PROFANITY"
"nastyho","PROFANITY"
"nastyslut","PROFANITY"
"nastywhore","PROFANITY"
"nazi","PROFANITY"
"necro","PROFANITY"
"negro","PROFANITY"
"negroes","PROFANITY"
"negroid","PROFANITY"
"negro's","PROFANITY"
"nig","PROFANITY"
"niger","PROFANITY"
"nigerian","PROFANITY"
"nigerians","PROFANITY"
"nigg","PROFANITY"
"nigga","PROFANITY"
"niggah","PROFANITY"
"niggaracci","PROFANITY"
"niggard","PROFANITY"
"niggarded","PROFANITY"
"niggarding","PROFANITY"
"niggardliness","PROFANITY"
"niggardliness's","PROFANITY"
"niggardly","PROFANITY"
"niggards","PROFANITY"
"niggard's","PROFANITY"
"niggaz","PROFANITY"
"nigger","PROFANITY"
"niggerhead","PROFANITY"
"niggerhole","PROFANITY"
"niggers","PROFANITY"
"nigger's","PROFANITY"
"niggle","PROFANITY"
"niggled","PROFANITY"
"niggles","PROFANITY"
"niggling","PROFANITY"
"nigglings","PROFANITY"
"niggor","PROFANITY"
"niggur","PROFANITY"
"niglet","PROFANITY"
"nignog","PROFANITY"
"nigr","PROFANITY"
"nigra","PROFANITY"
"nigre","PROFANITY"
"nip","PROFANITY"
"nipple","PROFANITY"
"nipplering","PROFANITY"
"nittit","PROFANITY"
"nlgger","PROFANITY"
"nlggor","PROFANITY"
"nofuckingway","PROFANITY"
"nook","PROFANITY"
"nookey","PROFANITY"
"nookie","PROFANITY"
"noonan","PROFANITY"
"nooner","PROFANITY"
"nude","PROFANITY"
"nudger","PROFANITY"
"nuke","PROFANITY"
"nutfucker","PROFANITY"
"nymph","PROFANITY"
"ontherag","PROFANITY"
"oral","PROFANITY"
"orga","PROFANITY"
"orgasim ","PROFANITY"
"orgasm","PROFANITY"
"orgies","PROFANITY"
"orgy","PROFANITY"
"osama","PROFANITY"
"paki","PROFANITY"
"palesimian","PROFANITY"
"palestinian","PROFANITY"
"pansies","PROFANITY"
"pansy","PROFANITY"
"panti","PROFANITY"
"panties","PROFANITY"
"payo","PROFANITY"
"pearlnecklace","PROFANITY"
"peck","PROFANITY"
"pecker","PROFANITY"
"peckerwood","PROFANITY"
"pee","PROFANITY"
"peehole","PROFANITY"
"pee-pee","PROFANITY"
"peepshow","PROFANITY"
"peepshpw","PROFANITY"
"pendy","PROFANITY"
"penetration","PROFANITY"
"peni5","PROFANITY"
"penile","PROFANITY"
"penis","PROFANITY"
"penises","PROFANITY"
"penthouse","PROFANITY"
"period","PROFANITY"
"perv","PROFANITY"
"phonesex","PROFANITY"
"phuk","PROFANITY"
"phuked","PROFANITY"
"phuking","PROFANITY"
"phukked","PROFANITY"
"phukking","PROFANITY"
"phungky","PROFANITY"
"phuq","PROFANITY"
"pi55","PROFANITY"
"picaninny","PROFANITY"
"piccaninny","PROFANITY"
"pickaninny","PROFANITY"
"piker","PROFANITY"
"pikey","PROFANITY"
"piky","PROFANITY"
"pimp","PROFANITY"
"pimped","PROFANITY"
"pimper","PROFANITY"
"pimpjuic","PROFANITY"
"pimpjuice","PROFANITY"
"pimpsimp","PROFANITY"
"pindick","PROFANITY"
"piss","PROFANITY"
"pissed","PROFANITY"
"pisser","PROFANITY"
"pisses ","PROFANITY"
"pisshead","PROFANITY"
"pissin ","PROFANITY"
"pissing","PROFANITY"
"pissoff ","PROFANITY"
"pistol","PROFANITY"
"pixie","PROFANITY"
"pixy","PROFANITY"
"playboy","PROFANITY"
"playgirl","PROFANITY"
"pocha","PROFANITY"
"pocho","PROFANITY"
"pocketpool","PROFANITY"
"pohm","PROFANITY"
"polack","PROFANITY"
"pom","PROFANITY"
"pommie","PROFANITY"
"pommy","PROFANITY"
"poo","PROFANITY"
"poon","PROFANITY"
"poontang","PROFANITY"
"poop","PROFANITY"
"pooper","PROFANITY"
"pooperscooper","PROFANITY"
"pooping","PROFANITY"
"poorwhitetrash","PROFANITY"
"popimp","PROFANITY"
"porchmonkey","PROFANITY"
"porn","PROFANITY"
"pornflick","PROFANITY"
"pornking","PROFANITY"
"porno","PROFANITY"
"pornography","PROFANITY"
"pornprincess","PROFANITY"
"pot","PROFANITY"
"poverty","PROFANITY"
"premature","PROFANITY"
"pric","PROFANITY"
"prick","PROFANITY"
"prickhead","PROFANITY"
"primetime","PROFANITY"
"propaganda","PROFANITY"
"pros","PROFANITY"
"prostitute","PROFANITY"
"protestant","PROFANITY"
"pu55i","PROFANITY"
"pu55y","PROFANITY"
"pube","PROFANITY"
"pubic","PROFANITY"
"pubiclice","PROFANITY"
"pud","PROFANITY"
"pudboy","PROFANITY"
"pudd","PROFANITY"
"puddboy","PROFANITY"
"puke","PROFANITY"
"puntang","PROFANITY"
"purinapricness","PROFANITY"
"puss","PROFANITY"
"pussie","PROFANITY"
"pussies","PROFANITY"
"pussy","PROFANITY"
"pussycat","PROFANITY"
"pussyeater","PROFANITY"
"pussyfucker","PROFANITY"
"pussylicker","PROFANITY"
"pussylips","PROFANITY"
"pussylover","PROFANITY"
"pussypounder","PROFANITY"
"pusy","PROFANITY"
"quashie","PROFANITY"
"queef","PROFANITY"
"queer","PROFANITY"
"quickie","PROFANITY"
"quim","PROFANITY"
"ra8s","PROFANITY"
"rabbi","PROFANITY"
"racial","PROFANITY"
"racist","PROFANITY"
